Indice,File,Diff_media
210,04000_15000_label_free.tif,35.3673
211,04000_15500_label_free.tif,35.0961
212,04000_16000_label_free.tif,37.9265
213,04000_16500_label_free.tif,44.4838
214,04000_17000_label_free.tif,45.7442
215,04000_17500_label_free.tif,39.189
216,04000_18000_label_free.tif,30.7871
217,04000_18500_label_free.tif,29.2611
218,04000_19000_label_free.tif,31.0278
219,04000_19500_label_free.tif,23.6448
220,04500_02500_label_free.tif,22.4224
221,04500_03000_label_free.tif,39.0927
222,04500_03500_label_free.tif,35.1634
223,04500_04000_label_free.tif,28.3041
224,04500_04500_label_free.tif,29.2484
225,04500_05000_label_free.tif,39.3666
226,04500_05500_label_free.tif,40.8271
227,04500_06000_label_free.tif,39.0064
228,04500_06500_label_free.tif,42.5672
229,04500_07000_label_free.tif,44.6449
230,04500_07500_label_free.tif,44.4501
231,04500_08000_label_free.tif,42.4408
232,04500_08500_label_free.tif,43.1166
233,04500_09000_label_free.tif,45.3389
234,04500_09500_label_free.tif,43.6797
235,04500_10000_label_free.tif,42.7835
236,04500_10500_label_free.tif,42.1969
237,04500_11000_label_free.tif,40.8093
238,04500_11500_label_free.tif,40.4328
239,04500_12000_label_free.tif,42.3176
240,04500_12500_label_free.tif,43.8066
241,04500_13000_label_free.tif,44.5371
242,04500_13500_label_free.tif,40.8532
243,04500_14000_label_free.tif,39.037
244,04500_14500_label_free.tif,34.9519
245,04500_15000_label_free.tif,32.757
246,04500_15500_label_free.tif,31.8568
247,04500_16000_label_free.tif,31.8871
248,04500_16500_label_free.tif,34.1124
249,04500_17000_label_free.tif,36.0776
250,04500_17500_label_free.tif,34.4956
251,04500_18000_label_free.tif,29.023
252,04500_18500_label_free.tif,26.8553
253,04500_19000_label_free.tif,28.1765
254,04500_19500_label_free.tif,26.0836
255,05000_02500_label_free.tif,27.6893
256,05000_03000_label_free.tif,41.8058
257,05000_03500_label_free.tif,32.539
258,05000_05000_label_free.tif,31.6863
259,05000_05500_label_free.tif,38.13
260,05000_06000_label_free.tif,38.0154
261,05000_06500_label_free.tif,42.6905
262,05000_07000_label_free.tif,47.2259
263,05000_07500_label_free.tif,50.2654
264,05000_08000_label_free.tif,48.4479
265,05000_08500_label_free.tif,46.9535
266,05000_09000_label_free.tif,46.4737
267,05000_09500_label_free.tif,44.1578
268,05000_10000_label_free.tif,41.6686
269,05000_10500_label_free.tif,40.7945
270,05000_11000_label_free.tif,39.5551
271,05000_11500_label_free.tif,39.67
272,05000_12000_label_free.tif,45.5892
273,05000_12500_label_free.tif,48.7142
274,05000_13000_label_free.tif,50.9062
275,05000_13500_label_free.tif,47.7866
276,05000_14000_label_free.tif,45.2738
277,05000_14500_label_free.tif,37.5487
278,05000_15000_label_free.tif,31.3964
279,05000_15500_label_free.tif,29.5154
280,05000_16000_label_free.tif,28.3601
281,05000_16500_label_free.tif,29.2399
282,05000_17000_label_free.tif,30.3071
283,05000_17500_label_free.tif,30.2839
284,05000_18000_label_free.tif,27.4174
285,05000_18500_label_free.tif,27.0956
286,05000_19000_label_free.tif,27.3627
287,05000_19500_label_free.tif,29.027
288,05000_20000_label_free.tif,21.9677
289,05500_02500_label_free.tif,29.9538
290,05500_03000_label_free.tif,40.22
291,05500_03500_label_free.tif,31.9822
292,05500_04000_label_free.tif,20.6665
293,05500_04500_label_free.tif,19.7115
294,05500_05000_label_free.tif,29.4726
295,05500_05500_label_free.tif,37.7674
296,05500_06000_label_free.tif,39.0147
297,05500_06500_label_free.tif,42.0921
298,05500_07000_label_free.tif,47.5341
299,05500_07500_label_free.tif,52.1927
300,05500_08000_label_free.tif,51.5038
301,05500_08500_label_free.tif,47.2187
302,05500_09000_label_free.tif,45.2162
303,05500_09500_label_free.tif,42.474
304,05500_10000_label_free.tif,39.667
305,05500_10500_label_free.tif,38.5417
306,05500_11000_label_free.tif,35.5474
307,05500_11500_label_free.tif,35.2547
308,05500_12000_label_free.tif,42.6425
309,05500_12500_label_free.tif,49.3406
310,05500_13000_label_free.tif,53.7881
311,05500_13500_label_free.tif,55.3918
312,05500_14000_label_free.tif,55.5006
313,05500_14500_label_free.tif,44.8234
314,05500_15000_label_free.tif,31.3817
315,05500_15500_label_free.tif,25.7655
316,05500_16000_label_free.tif,25.3676
317,05500_16500_label_free.tif,28.3487
318,05500_17000_label_free.tif,31.0705
319,05500_17500_label_free.tif,32.5263
320,05500_18000_label_free.tif,31.3016
321,05500_18500_label_free.tif,31.4768
322,05500_19000_label_free.tif,28.1275
323,05500_19500_label_free.tif,31.1457
324,05500_20000_label_free.tif,27.3973
325,06000_02500_label_free.tif,28.6183
326,06000_03000_label_free.tif,35.9682
327,06000_03500_label_free.tif,29.4149
