Indice,File,Diff_media
248,04500_16500_label_free.tif,30.4238
249,04500_17000_label_free.tif,28.5325
250,04500_17500_label_free.tif,25.0436
251,04500_18000_label_free.tif,23.3533
252,04500_18500_label_free.tif,24.794
253,04500_19000_label_free.tif,26.1129
254,04500_19500_label_free.tif,22.6483
255,05000_02500_label_free.tif,24.098
256,05000_03000_label_free.tif,34.5684
257,05000_05000_label_free.tif,24.6415
258,05000_05500_label_free.tif,26.9913
259,05000_06000_label_free.tif,30.2966
260,05000_06500_label_free.tif,36.5508
261,05000_07000_label_free.tif,45.5526
262,05000_07500_label_free.tif,44.6497
263,05000_08000_label_free.tif,37.8339
264,05000_08500_label_free.tif,43.1881
265,05000_09000_label_free.tif,46.7476
266,05000_09500_label_free.tif,42.5065
267,05000_10000_label_free.tif,40.6751
268,05000_10500_label_free.tif,41.7395
269,05000_11000_label_free.tif,39.898
270,05000_11500_label_free.tif,33.378
271,05000_12000_label_free.tif,35.1845
272,05000_12500_label_free.tif,40.9495
273,05000_13000_label_free.tif,37.729
274,05000_13500_label_free.tif,37.2673
275,05000_14000_label_free.tif,33.5098
276,05000_14500_label_free.tif,24.7328
277,05000_15000_label_free.tif,21.4359
278,05000_15500_label_free.tif,22.3086
279,05000_16000_label_free.tif,22.4807
280,05000_16500_label_free.tif,22.7465
281,05000_17000_label_free.tif,23.695
282,05000_17500_label_free.tif,22.2913
283,05000_18000_label_free.tif,22.1962
284,05000_18500_label_free.tif,23.9715
285,05000_19000_label_free.tif,24.4223
286,05000_19500_label_free.tif,24.9361
287,05000_20000_label_free.tif,16.7306
288,05500_02500_label_free.tif,27.8804
289,05500_03000_label_free.tif,31.4542
290,05500_04500_label_free.tif,11.7942
291,05500_05000_label_free.tif,23.7966
292,05500_05500_label_free.tif,29.7266
293,05500_06000_label_free.tif,32.3607
294,05500_06500_label_free.tif,35.6209
295,05500_07000_label_free.tif,40.3193
296,05500_07500_label_free.tif,46.954
297,05500_08000_label_free.tif,40.9537
298,05500_08500_label_free.tif,38.4141
299,05500_09000_label_free.tif,43.5058
300,05500_09500_label_free.tif,39.9634
301,05500_10000_label_free.tif,36.9486
302,05500_11000_label_free.tif,35.0393
303,05500_11500_label_free.tif,25.6793
304,05500_12000_label_free.tif,29.0714
305,05500_12500_label_free.tif,40.3351
306,05500_13000_label_free.tif,42.3212
307,05500_13500_label_free.tif,46.4748
308,05500_14000_label_free.tif,45.4348
309,05500_14500_label_free.tif,32.4292
310,05500_15000_label_free.tif,21.7861
311,05500_15500_label_free.tif,19.5743
312,05500_16000_label_free.tif,18.8177
